,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1956-57,24,MNL,NBA,,10,,10,10,,,5,21
1957-58,25,MNL,NBA,,11,,15,16,,,5,25
1958-59,26,MNL,NBA,,10,,8,11,,,5,22
1959-60,27,MNL,NBA,,10,,9,10,,,,25
1960-61,28,LAL,NBA,,5,,13,16,,,5,21
1961-62,29,CHP,NBA,,16,,10,12,,,,39
1962-63,30,CHZ,NBA,,9,,6,,,,,20
Career,,,,,16,,15,,,,,39
5 Seasons,,"LAL,MNL",NBA,,11,,15,16,,,,25
2 Seasons,,"CHP,CHZ",NBA,,16,,10,,,,,39
