Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Slick Leonard,,1.5,1.3,1.2,0.4,0.1,-0.1,-0.5
Troy Daniels,75.5,1.4,1.3,1.1,0.3,0.2,0.2,NA
Justin Anderson,73.1,1.9,1.2,1.1,0.4,NA,NA,NA
Jimmy O'Brien,71.8,1.4,1.4,1,0.2,NA,NA,NA
Todd Lichti,67.3,1.8,1.3,1.2,1,0.2,NA,NA
Steve Henson,66.5,1.2,1.1,1,0.2,0.1,0,0
Mo Layton,66.2,1.9,1.1,1,0.3,0.1,NA,NA
Anthony Carter,65.1,1.7,1.4,0.6,0.5,0.2,-0.2,-0.3
Isaiah Canaan,64.6,1.4,1.4,0.6,0.5,0.2,0.1,NA
Chris Carr,64.4,1.7,1.1,0.9,0.3,0.2,-0.3,NA
Donnie Butcher,62.7,1.9,1.2,1.1,0.5,-0.3,NA,NA
