Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1956-57,24,MNL,NBA,PG,72,NA,1943,5.6,16.1,0.349,3.4,4.5,0.772,4.1,3.1,2.6,14.7
1957-58,25,MNL,NBA,PG,66,NA,2074,4.6,13.8,0.335,3.6,4.7,0.765,4.1,3.8,2.5,12.8
1958-59,26,MNL,NBA,PG,58,NA,1598,4.6,12.4,0.373,2.7,3.6,0.75,4,4.2,2.7,12
1959-60,27,MNL,NBA,PG,73,NA,2074,4,12.4,0.322,2.4,3.4,0.705,4.3,4.4,3,10.4
1960-61,28,LAL,NBA,PG,55,NA,600,3.7,12.4,0.295,4.3,6,0.71,4.2,4.9,4.2,11.6
1961-62,29,CHP,NBA,PG,70,NA,2464,6.2,16.5,0.375,4.1,5.4,0.752,2.9,5.5,2.7,16.4
1962-63,30,CHZ,NBA,PG,32,NA,879,3.4,10,0.343,2.4,3.5,0.694,2.8,5.9,3.4,9.3
Career,NA,,NBA,,426,NA,11632,4.9,14,0.349,3.3,4.4,0.745,3.8,4.4,2.8,13
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,"MNL,LAL",NBA,,324,NA,8289,4.6,13.6,0.34,3.1,4.2,0.746,4.1,3.9,2.8,12.4
2 seasons,NA,"CHP,CHZ",NBA,,102,NA,3343,5.5,14.8,0.369,3.6,4.9,0.741,2.9,5.6,2.9,14.6
