Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Ron Perry,,4.4,1.4,0.3
Allen Crabbe,93.8,4.3,1.3,0.1
Jeffrey Congdon,92.0,4.3,0.9,0.3
Charles Dudley,91.8,4.6,1.6,0.2
Matt Guokas,89.6,4.2,1.2,0.5
Lou Williams,89.4,4.4,1.1,-0.1
John Barnhill,88.2,4.6,1,0.4
Doug West,88.0,4.6,1.2,-0.1
Delon Wright,87.9,4.5,1.1,0.6
Kevin Grevey,85.9,4.4,0.7,0.1
Jack McMahon,85.1,4.7,1.3,-0.2
