,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,24,MNM,ABA,,12,,4,,,,6,7,,,,,,,28
1968-69,25,TOT,ABA,,14,,4,,,,10,10,,,,,,,36
1968-69,25,MMF,ABA,,8,,3,,,,10,10,,,,,,,21
1968-69,25,NYA,ABA,,14,,2,,,,7,10,,,,,,,36
1968-69,25,INA,ABA,,12,,4,,,,8,8,,,,,,,35
1969-70,26,TOT,ABA,,9,,1,,,,6,7,,,,,,,18
1969-70,26,CAR,ABA,,9,,1,,,,6,7,,,,,,,18
1969-70,26,NOB,ABA,,7,,1,,,,5,7,,,,,,,18
Career,,,,,14,,4,,,,10,10,,,,,,,36
2 Seasons,,"MMF,MNM",ABA,,12,,4,,,,10,10,,,,,,,28
1 Season,,INA,ABA,,12,,4,,,,8,8,,,,,,,35
1 Season,,NOB,ABA,,7,,1,,,,5,7,,,,,,,18
1 Season,,NYA,ABA,,14,,2,,,,7,10,,,,,,,36
1 Season,,CAR,ABA,,9,,1,,,,6,7,,,,,,,18
