Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Ron Perry,,4.4,1.4,0.3,NA,NA,NA
D'Angelo Russell,87.2,5,1.3,0.4,0,NA,NA
Jeffrey Congdon,82.1,4.3,0.9,0.7,0.3,0,NA
Bobby Rascoe,80.9,4.2,1.9,-0.2,NA,NA,NA
Mel Riebe,80.5,4.2,2.2,0,NA,NA,NA
Paul Thompson,79.9,3.7,1.1,0.1,NA,NA,NA
Malik Beasley,78.2,4.5,0.3,0.2,NA,NA,NA
Walt Kirk,75.6,5,2.3,0.4,NA,NA,NA
Ronnie Lester,75.3,3.9,1.7,0.7,0.2,0,-0.2
Bryn Forbes,75.2,3.8,2.1,0.1,NA,NA,NA
Earl Tatum,75.2,4.4,2.6,0.7,0,NA,NA
