Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,24,MNM,ABA,PG,67,2125,9.8,0.448,0.203,0.204,NA,NA,4.5,9.3,15,18.7,NA,0.3,4.1,4.4,0.099
1968-69,25,TOT,ABA,PG-SG,74,2385,10.3,0.456,0.181,0.275,NA,NA,4.5,14.4,14.5,21,NA,-0.3,1.7,1.4,0.028
1968-69,25,MMF,ABA,PG,24,708,6.6,0.404,0.147,0.304,NA,NA,4.8,11.5,15.2,20.4,NA,-1,0.5,-0.5,-0.031
1968-69,25,NYA,ABA,SG,23,812,13.3,0.46,0.134,0.308,NA,NA,5.2,16.6,13.1,25,NA,0,0.4,0.4,0.021
1968-69,25,INA,ABA,SG,27,865,10.4,0.498,0.271,0.208,NA,NA,3.7,14.8,15.4,17.9,NA,0.7,0.8,1.5,0.082
1969-70,26,TOT,ABA,SG,46,522,10.6,0.456,0.129,0.357,NA,NA,4.7,10.9,13.9,26.8,NA,-0.2,0.5,0.3,0.026
1969-70,26,CAR,ABA,,19,221,11.6,0.484,0.097,0.417,NA,NA,3.8,12.2,13.5,24.3,NA,0.1,0.2,0.3,0.067
1969-70,26,NOB,ABA,SG,27,301,9.9,0.438,0.148,0.32,NA,NA,5.3,9.8,14.2,28.7,NA,-0.3,0.3,0,-0.004
Career,NA,,ABA,,187,5032,10.1,0.453,0.183,0.257,NA,NA,4.6,11.9,14.6,20.7,NA,-0.2,6.2,6,0.057
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"MNM,MMF",ABA,,91,2833,9,0.437,0.189,0.229,NA,NA,4.6,9.9,15.1,19.1,NA,-0.7,4.6,3.9,0.066
1 season,NA,INA,ABA,,27,865,10.4,0.498,0.271,0.208,NA,NA,3.7,14.8,15.4,17.9,NA,0.7,0.8,1.5,0.082
1 season,NA,NOB,ABA,,27,301,9.9,0.438,0.148,0.32,NA,NA,5.3,9.8,14.2,28.7,NA,-0.3,0.3,0,-0.004
1 season,NA,NYA,ABA,,23,812,13.3,0.46,0.134,0.308,NA,NA,5.2,16.6,13.1,25,NA,0,0.4,0.4,0.021
1 season,NA,CAR,ABA,,19,221,11.6,0.484,0.097,0.417,NA,NA,3.8,12.2,13.5,24.3,NA,0.1,0.2,0.3,0.067
