Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,24,MNM,ABA,PG,67,NA,2125,5.7,14.9,0.386,1.1,3,0.348,4.7,11.9,0.396,2,3,0.659,NA,NA,3.8,2.4,2.9,2.6,14.5
1968-69,25,TOT,ABA,PG-SG,74,NA,2385,6.1,16,0.379,1,2.9,0.349,5.1,13.1,0.386,3.2,4.4,0.726,1.3,2.4,3.6,3.7,3,3.8,16.3
1968-69,25,MMF,ABA,PG,24,NA,708,5.1,15.2,0.334,0.6,2.2,0.273,4.5,13,0.345,3.2,4.6,0.681,1.4,2.3,3.7,3.2,3.1,3.4,13.9
1968-69,25,NYA,ABA,SG,23,NA,812,7.3,18.8,0.388,1,2.5,0.386,6.3,16.3,0.389,4.1,5.8,0.702,1.4,2.8,4.2,3.8,3.2,3.6,19.7
1968-69,25,INA,ABA,SG,27,NA,865,5.7,14,0.408,1.4,3.8,0.363,4.3,10.2,0.424,2.4,2.9,0.829,1,2,3,4,2.8,4.5,15.2
1969-70,26,TOT,ABA,SG,46,NA,522,7.2,18.8,0.382,0.7,2.4,0.286,6.5,16.3,0.397,4.8,6.7,0.711,1.7,2,3.7,2.6,3.5,5.4,19.8
1969-70,26,CAR,ABA,,19,NA,221,6.8,16.8,0.408,0.3,1.6,0.2,6.5,15.1,0.43,5.2,7,0.744,0.7,2.3,2.9,2.9,3.1,5.5,19.2
1969-70,26,NOB,ABA,SG,27,NA,301,7.4,20.2,0.367,1,3,0.32,6.5,17.2,0.375,4.4,6.5,0.685,2.4,1.8,4.2,2.3,3.8,5.3,20.2
Career,NA,,ABA,,187,NA,5032,6,15.8,0.382,1,2.9,0.343,5.1,12.9,0.391,2.9,4.1,0.702,1.3,2.3,3.7,3,3,3.5,15.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"MNM,MMF",ABA,,91,NA,2833,5.6,15,0.373,0.9,2.8,0.333,4.6,12.1,0.382,2.3,3.4,0.667,1.4,2.3,3.8,2.6,2.9,2.8,14.4
1 season,NA,INA,ABA,,27,NA,865,5.7,14,0.408,1.4,3.8,0.363,4.3,10.2,0.424,2.4,2.9,0.829,1,2,3,4,2.8,4.5,15.2
1 season,NA,NOB,ABA,,27,NA,301,7.4,20.2,0.367,1,3,0.32,6.5,17.2,0.375,4.4,6.5,0.685,2.4,1.8,4.2,2.3,3.8,5.3,20.2
1 season,NA,NYA,ABA,,23,NA,812,7.3,18.8,0.388,1,2.5,0.386,6.3,16.3,0.389,4.1,5.8,0.702,1.4,2.8,4.2,3.8,3.2,3.6,19.7
1 season,NA,CAR,ABA,,19,NA,221,6.8,16.8,0.408,0.3,1.6,0.2,6.5,15.1,0.43,5.2,7,0.744,0.7,2.3,2.9,2.9,3.1,5.5,19.2
