,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1991-92,23,MIN,NBA,,7,13,0,0,7,13,6,8,4,8,11,4,3,4,4,5,20,16.6
1992-93,24,MIN,NBA,,8,16,0,0,8,16,5,6,6,10,11,3,4,4,5,6,19,17.8
1993-94,25,TOT,NBA,,8,14,0,1,8,14,6,6,8,12,19,8,5,4,6,6,16,18.6
1993-94,25,MIN,NBA,,6,12,0,1,6,12,4,6,8,12,19,3,5,3,6,6,14,18.6
1993-94,25,CHI,NBA,,8,14,0,0,8,14,6,6,6,8,10,8,3,4,5,6,16,14.9
1994-95,26,CHI,NBA,,7,14,0,1,7,14,7,8,5,8,11,4,3,4,4,6,14,14.6
1995-96,27,CHI,NBA,,9,15,0,0,9,15,7,9,5,8,11,5,3,7,5,6,21,21.4
1996-97,28,CHI,NBA,42:00,8,17,0,1,8,17,8,8,8,10,12,7,4,6,4,6,17,16.4
1997-98,29,CHI,NBA,50:16,10,23,0,0,10,23,7,8,6,15,17,8,3,6,7,6,24,22.0
1998-99,30,PHO,NBA,39:15,10,21,0,0,10,21,7,8,5,9,12,5,2,4,5,5,21,21.1
1999-00,31,PHO,NBA,37:47,9,14,0,0,9,14,4,5,5,9,12,5,2,4,5,6,20,15.1
2000-01,32,NYK,NBA,29:09,3,5,0,0,3,5,3,4,3,6,9,2,1,2,3,5,7,6.1
Career,,,,50:16,10,23,0,1,10,23,8,9,8,15,19,8,5,7,7,6,24,22.0
5 Seasons,,CHI,NBA,50:16,10,23,0,1,10,23,8,9,8,15,17,8,4,7,7,6,24,22.0
3 Seasons,,MIN,NBA,,8,16,0,1,8,16,6,8,8,12,19,4,5,4,6,6,20,18.6
2 Seasons,,PHO,NBA,39:15,10,21,0,0,10,21,7,8,5,9,12,5,2,4,5,6,21,21.1
1 Season,,NYK,NBA,29:09,3,5,0,0,3,5,3,4,3,6,9,2,1,2,3,5,7,6.1
