Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Luc Longley,,3.5,3.4,3.1,2.2,1.8,1.8,1.3,0.2,0.2,0,NA
Jim Davis,84.9,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2,NA,NA,NA
Vitaly Potapenko,84.6,3.4,3.1,2.5,2.2,1.5,1.1,1,0.5,0.2,0.1,-0.1
Nat Clifton,84.3,3.7,3.3,2.4,2.1,1.8,1.6,0.5,-0.4,NA,NA,NA
Leon Douglas,83.6,3.6,3.2,3.1,2.1,2.1,1,0,NA,NA,NA,NA
Joel Anthony,83.3,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.4,0.2,NA
Len Elmore,80.4,4.1,3.4,2.2,2.1,2.1,1.6,1.5,0.9,0.9,0,NA
John Henson,79.1,4.9,3.6,3.3,2.7,2.3,1.9,0.6,NA,NA,NA,NA
Mike Brown,78.6,3.7,3.7,2.4,1.5,1.5,1.4,1,0.7,0.2,0.1,-0.4
Jim Barnes,78.4,3.4,2.9,2.4,2.1,2.1,1.1,0.3,NA,NA,NA,NA
Kurt Nimphius,77.7,4.8,3.3,3.1,2.9,1.5,1,0.7,0.1,NA,NA,NA
