Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Pete Verhoeven,,2.1,1.2,0.8,0.7,0.4,0
Scott Hastings,88.6,2.1,1.3,1,0.8,0.4,0.1
Henry Walker,87.4,1.9,1.1,0.9,0.5,0.5,NA
Bob Portman,83.3,1.9,1.2,0.8,0.5,NA,NA
Charles Davis,80.9,2.1,1.5,1,0.9,0.3,-0.3
Solomon Jones,79.8,1.9,1.6,0.8,0.5,0.3,0
Cliff Meely,78.2,1.8,1.2,1,0.4,0.2,NA
Michael Ruffin,77.6,1.9,1.7,1,0.6,0.2,0
Reggie Slater,77.6,1.8,1.5,0.8,0.4,0.2,-0.1
Tellis Frank,76.9,2,1.1,0.6,0.3,0.1,NA
Jeff Ayres,76.9,2.4,1.3,1.2,1,0.3,0.2
