,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1977-78,18,FRESNOST,20,,11,26,,,8,12,,23,,,,,,30,.423,,.667,,1.5,1.2,
1978-79,19,FRESNOST,28,,64,114,,,23,31,,79,,,,,,151,.561,,.742,,5.4,2.8,
1979-80,20,FRESNOST,22,,75,130,,,31,40,,104,,,,,,181,.577,,.775,,8.2,4.7,
1980-81,21,FRESNOST,29,878,108,190,,,48,65,,151,,,,,,264,.568,,.738,30.3,9.1,5.2,
Career,,,99,878,258,460,,,110,148,,357,,,,,,626,.561,,.743,30.3,6.3,3.6,
