,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1969-70,22,CAR,ABA,,9,,0,,,,9,9,,,,,,,,27
1970-71,23,TOT,ABA,,7,,0,,,,6,7,,,,,,,,15
1970-71,23,NYA,ABA,,5,,0,,,,6,7,,,,,,,,15
1970-71,23,VIR,ABA,,7,,0,,,,5,6,,,,,,,,14
1971-72,24,VIR,ABA,,1,,0,,,,4,7,,,,,,,,4
Career,,,,,9,,0,,,,9,9,,,,,,,,27
1 Season,,CAR,ABA,,9,,0,,,,9,9,,,,,,,,27
2 Seasons,,VIR,ABA,,7,,0,,,,5,7,,,,,,,,14
1 Season,,NYA,ABA,,5,,0,,,,6,7,,,,,,,,15
