Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1969-70,22,CAR,ABA,SF,57,NA,701,96,248,0.387,0,0,NA,96,248,0.387,0.387,79,106,0.745,73,96,169,34,NA,48,106,271
1970-71,23,TOT,ABA,SF,72,NA,1123,114,245,0.465,0,0,NA,114,245,0.465,0.465,104,124,0.839,104,129,233,58,NA,74,157,332
1970-71,23,NYA,ABA,SF,39,NA,687,65,151,0.43,0,0,NA,65,151,0.43,0.43,60,69,0.87,64,78,142,34,NA,51,94,190
1970-71,23,VIR,ABA,SF,33,NA,436,49,94,0.521,0,0,NA,49,94,0.521,0.521,44,55,0.8,40,51,91,24,NA,23,63,142
1971-72,24,VIR,ABA,SF,16,NA,115,4,15,0.267,0,1,0,4,14,0.286,0.267,12,17,0.706,3,12,15,3,NA,5,11,20
Career,NA,,ABA,,145,NA,1939,214,508,0.421,0,1,0,214,507,0.422,0.421,195,247,0.789,180,237,417,95,NA,127,274,623
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CAR,ABA,,57,NA,701,96,248,0.387,0,0,NA,96,248,0.387,0.387,79,106,0.745,73,96,169,34,NA,48,106,271
2 seasons,NA,VIR,ABA,,49,NA,551,53,109,0.486,0,1,0,53,108,0.491,0.486,56,72,0.778,43,63,106,27,NA,28,74,162
1 season,NA,NYA,ABA,,39,NA,687,65,151,0.43,0,0,NA,65,151,0.43,0.43,60,69,0.87,64,78,142,34,NA,51,94,190
