Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1969-70,22,CAR,ABA,SF,57,701,11.2,0.46,0,0.427,NA,NA,11.2,6.7,NA,14,18.6,NA,-0.1,0.8,0.7,0.049
1970-71,23,TOT,ABA,SF,72,1123,9.3,0.554,0,0.506,NA,NA,9.9,6.2,NA,19.8,12.3,NA,1.2,0.7,2,0.084
1970-71,23,NYA,ABA,SF,39,687,8.3,0.524,0,0.457,NA,NA,10.1,6.2,NA,21.9,12.9,NA,0.5,0.4,0.9,0.06
1970-71,23,VIR,ABA,SF,33,436,11,0.601,0,0.585,NA,NA,9.6,6.3,NA,16.3,11.4,NA,0.7,0.4,1.1,0.12
1971-72,24,VIR,ABA,SF,16,115,3.3,0.445,0.067,1.133,2.3,9.1,5.7,2.8,NA,18.2,8.6,NA,0,0.1,0,0.02
Career,NA,,ABA,,145,1939,9.6,0.505,0.002,0.486,2.3,9.1,10.1,6.2,NA,17.1,14.4,NA,1.1,1.6,2.7,0.067
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CAR,ABA,,57,701,11.2,0.46,0,0.427,NA,NA,11.2,6.7,NA,14,18.6,NA,-0.1,0.8,0.7,0.049
2 seasons,NA,VIR,ABA,,49,551,9.4,0.576,0.009,0.661,2.3,9.1,8.8,5.6,NA,16.6,10.8,NA,0.7,0.4,1.1,0.099
1 season,NA,NYA,ABA,,39,687,8.3,0.524,0,0.457,NA,NA,10.1,6.2,NA,21.9,12.9,NA,0.5,0.4,0.9,0.06
