Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1969-70,22,CAR,ABA,SF,57,NA,12.3,1.7,4.4,0.387,0,0,NA,1.7,4.4,0.387,0.387,1.4,1.9,0.745,1.3,1.7,3,0.6,NA,0.8,1.9,4.8
1970-71,23,TOT,ABA,SF,72,NA,15.6,1.6,3.4,0.465,0,0,NA,1.6,3.4,0.465,0.465,1.4,1.7,0.839,1.4,1.8,3.2,0.8,NA,1,2.2,4.6
1970-71,23,NYA,ABA,SF,39,NA,17.6,1.7,3.9,0.43,0,0,NA,1.7,3.9,0.43,0.43,1.5,1.8,0.87,1.6,2,3.6,0.9,NA,1.3,2.4,4.9
1970-71,23,VIR,ABA,SF,33,NA,13.2,1.5,2.8,0.521,0,0,NA,1.5,2.8,0.521,0.521,1.3,1.7,0.8,1.2,1.5,2.8,0.7,NA,0.7,1.9,4.3
1971-72,24,VIR,ABA,SF,16,NA,7.2,0.3,0.9,0.267,0,0.1,0,0.3,0.9,0.286,0.267,0.8,1.1,0.706,0.2,0.8,0.9,0.2,NA,0.3,0.7,1.3
Career,NA,,ABA,,145,NA,13.4,1.5,3.5,0.421,0,0,0,1.5,3.5,0.422,0.421,1.3,1.7,0.789,1.2,1.6,2.9,0.7,NA,0.9,1.9,4.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CAR,ABA,,57,NA,12.3,1.7,4.4,0.387,0,0,NA,1.7,4.4,0.387,0.387,1.4,1.9,0.745,1.3,1.7,3,0.6,NA,0.8,1.9,4.8
2 seasons,NA,VIR,ABA,,49,NA,11.2,1.1,2.2,0.486,0,0,0,1.1,2.2,0.491,0.486,1.1,1.5,0.778,0.9,1.3,2.2,0.6,NA,0.6,1.5,3.3
1 season,NA,NYA,ABA,,39,NA,17.6,1.7,3.9,0.43,0,0,NA,1.7,3.9,0.43,0.43,1.5,1.8,0.87,1.6,2,3.6,0.9,NA,1.3,2.4,4.9
