Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1969-70,22,CAR,ABA,SF,57,NA,701,4.9,12.7,0.387,0,0,NA,4.9,12.7,0.387,4.1,5.4,0.745,3.7,4.9,8.7,1.7,NA,2.5,5.4,13.9
1970-71,23,TOT,ABA,SF,72,NA,1123,3.7,7.9,0.465,0,0,NA,3.7,7.9,0.465,3.3,4,0.839,3.3,4.1,7.5,1.9,NA,2.4,5,10.6
1970-71,23,NYA,ABA,SF,39,NA,687,3.4,7.9,0.43,0,0,NA,3.4,7.9,0.43,3.1,3.6,0.87,3.4,4.1,7.4,1.8,NA,2.7,4.9,10
1970-71,23,VIR,ABA,SF,33,NA,436,4,7.8,0.521,0,0,NA,4,7.8,0.521,3.6,4.5,0.8,3.3,4.2,7.5,2,NA,1.9,5.2,11.7
1971-72,24,VIR,ABA,SF,16,NA,115,1.3,4.7,0.267,0,0.3,0,1.3,4.4,0.286,3.8,5.3,0.706,0.9,3.8,4.7,0.9,NA,1.6,3.4,6.3
Career,NA,,ABA,,145,NA,1939,4,9.4,0.421,0,0,0,4,9.4,0.422,3.6,4.6,0.789,3.3,4.4,7.7,1.8,NA,2.4,5.1,11.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CAR,ABA,,57,NA,701,4.9,12.7,0.387,0,0,NA,4.9,12.7,0.387,4.1,5.4,0.745,3.7,4.9,8.7,1.7,NA,2.5,5.4,13.9
2 seasons,NA,VIR,ABA,,49,NA,551,3.5,7.1,0.486,0,0.1,0,3.5,7.1,0.491,3.7,4.7,0.778,2.8,4.1,6.9,1.8,NA,1.8,4.8,10.6
1 season,NA,NYA,ABA,,39,NA,687,3.4,7.9,0.43,0,0,NA,3.4,7.9,0.43,3.1,3.6,0.87,3.4,4.1,7.4,1.8,NA,2.7,4.9,10
