Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bill Bunting,,2,0.7,0,NA,NA
Joey Dorsey,92.9,1.9,0.8,0.1,0,NA
Ron Bonham,88.1,1.8,0.7,0.2,NA,NA
Ryan Kelly,88.1,2.2,0.7,0.1,0.1,NA
Jim Holstein,85.4,1.8,0.6,0.2,NA,NA
Marquese Chriss,83.3,1.8,0.7,-0.2,NA,NA
Billy Schaeffer,82.0,1.9,0.8,0.5,NA,NA
Ron Riley,80.8,1.6,0.7,0.2,0,NA
Chris McNealy,79.4,1.6,0.8,0.2,NA,NA
Red Morrison,79.3,1.7,0.5,0,NA,NA
Bernard Thompson,79.2,2.1,0.9,0.2,0.1,0
