Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Vern Mikkelsen,,13.2,12,10.9,9.2,8.9,6.6,6.5,6.1,5.4,4.5
John Havlicek,92.3,12.5,12.4,10.6,8.3,7.7,7.6,7.3,6.4,4.5,4.3
Shawn Kemp,91.9,11.7,11.2,10.6,10,9.1,6.8,6.7,6.3,6.1,2.1
Cedric Maxwell,91.9,12.2,11.7,11,9.1,6.6,6.4,5.4,5.4,4.6,4.2
Billy Cunningham,91.8,11.9,10.3,10,9,8.3,6.8,6.4,6.1,5,3.5
Kevin Love,90.5,14.3,11.4,10,8.7,8.5,6.4,6.4,5.3,4.9,1.1
Cliff Hagan,89.5,11.8,11.7,10.8,10,8.5,6.5,6,4.7,3.7,1.3
Chet Walker,89.4,14.5,10.9,10.1,9.8,9.8,8.2,7.8,5.4,5.3,3.7
Horace Grant,88.9,14.1,10.3,10,9.5,9.1,8,8,7.7,6.4,4.2
Elvin Hayes,88.8,12.5,12.1,10.6,9.6,8.5,8.3,8.1,7.8,7.6,7.3
Paul Pierce,88.1,12.9,12.4,11.5,11.2,10.4,10.1,8.2,7.1,5.4,4.9
