Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1949-50,21,MNL,NBA,PF,68,NA,NA,0.466,0.396,NA,NA,NA,NA,NA,5.6,3.6,9.2,NA
1950-51,22,MNL,NBA,PF,64,NA,NA,0.446,0.308,NA,NA,NA,NA,NA,3.9,5,8.9,NA
1951-52,23,MNL,NBA,PF,66,2345,21.9,0.49,0.43,NA,NA,NA,NA,NA,6.5,6.6,13.2,0.27
1952-53,24,MNL,NBA,PF,70,2465,21.7,0.504,0.446,NA,NA,NA,NA,NA,7.2,4.9,12,0.235
1953-54,25,MNL,NBA,PF,72,2247,16.5,0.442,0.387,NA,NA,NA,NA,NA,2.2,4.4,6.6,0.141
1954-55,26,MNL,NBA,PF,71,2559,20.1,0.508,0.573,NA,NA,NA,NA,NA,7.4,3.6,10.9,0.205
1955-56,27,MNL,NBA,PF,72,2100,16.8,0.481,0.497,NA,NA,NA,NA,NA,3.6,1.8,5.4,0.123
1956-57,28,MNL,NBA,PF,72,2198,16,0.474,0.496,NA,NA,NA,NA,NA,3.7,2.4,6.1,0.134
1957-58,29,MNL,NBA,PF,72,2390,18.9,0.489,0.44,NA,NA,NA,NA,NA,5.4,1.1,6.5,0.13
1958-59,30,MNL,NBA,PF,72,2139,15.9,0.468,0.393,NA,NA,NA,NA,NA,2.9,1.6,4.5,0.102
Career,NA,,NBA,,699,18443,18.6,0.478,0.44,NA,NA,NA,NA,NA,48.5,34.9,83.4,0.17
