,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1949-50,21,MNL,NBA,,12,,9,12,,,,31
1950-51,22,MNL,NBA,,11,,12,13,,,,28
1951-52,23,MNL,NBA,,13,,12,15,,,6,36
1952-53,24,MNL,NBA,,13,,13,15,,,6,31
1953-54,25,MNL,NBA,,11,,12,14,,,6,24
1954-55,26,MNL,NBA,,12,,16,20,,,6,32
1955-56,27,MNL,NBA,,10,,12,15,,,6,27
1956-57,28,MNL,NBA,,13,,13,16,,,6,35
1957-58,29,MNL,NBA,,11,,15,19,,,6,33
1958-59,30,MNL,NBA,,17,,13,18,,,6,43
Career,,,,,17,,16,20,,,,43
