Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,21,MNL,NBA,PF,68,NA,NA,NA,NA,0.399,NA,NA,0.752,NA,NA,NA,NA
1950-51,22,MNL,NBA,PF,64,NA,NA,NA,NA,0.402,NA,NA,0.676,NA,NA,NA,NA
1951-52,23,MNL,NBA,PF,66,NA,2345,5.6,13.3,0.419,4.3,5.7,0.761,10.5,2.8,4.3,15.5
1952-53,24,MNL,NBA,PF,70,NA,2465,5.5,12.7,0.435,4.2,5.7,0.752,9.6,2.2,4.2,15.3
1953-54,25,MNL,NBA,PF,72,NA,2247,4.6,12.4,0.374,3.5,4.8,0.742,9.9,1.9,4.2,12.8
1954-55,26,MNL,NBA,PF,71,NA,2559,6.2,14.7,0.422,6.3,8.4,0.747,10.2,2,4.5,18.7
1955-56,27,MNL,NBA,PF,72,NA,2100,5.4,14.1,0.386,5.6,7,0.804,10.4,3,5.5,16.5
1956-57,28,MNL,NBA,PF,72,NA,2198,5.3,14,0.377,5.6,6.9,0.807,10.3,2,5.1,16.1
1957-58,29,MNL,NBA,PF,72,NA,2390,6.6,16.1,0.41,5.6,7.1,0.786,12.1,2.5,4.5,18.8
1958-59,30,MNL,NBA,PF,72,NA,2139,5.9,15.2,0.39,4.8,6,0.806,9.6,2.7,4.1,16.7
Career,NA,,NBA,,699,NA,18443,5.7,14,0.403,5,6.5,0.766,10.3,2.4,4.5,16.3
