Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
John Paxson,,6,5.7,4.8,4.7,4.2,3.3,2.3,2.2,1.9,0.6,0.6
Luke Ridnour,90.2,6.2,5.4,4.4,4.3,4,3.4,3.3,2.3,1.2,0.9,0.1
Jim Barnett,89.6,6.1,5.4,4.8,4.7,4.1,3.7,2.5,1.5,0.3,0.1,0
Jarrett Jack,89.2,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,0.9
Aaron McKie,89.2,5.9,5.3,5.1,4.8,4.3,3.9,3.5,2,2,1.6,1.4
Al Attles,88.9,5.6,5.3,5.2,5.2,3.6,3.5,3.4,1.9,1.7,0.8,0.4
Adrian Smith,88.7,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,1.5,0.8,0.5
Derek Fisher,88.2,5.8,5.5,5.2,3.9,3.8,3.7,3.1,2.4,1.8,1.7,1.1
Johnny Davis,87.1,5.7,5.2,5.1,4.4,4.3,3.5,3.3,3,2.5,1.7,NA
Austin Carr,87.0,5.9,5.4,5.3,5,3.4,2.9,2.6,2,1,-0.4,NA
Sherman Douglas,86.5,5.4,4.6,4.4,4.2,4,3.3,2.7,2.6,1,0.6,-0.1
