Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1965-66,22,NYK,NBA,SG,79,NA,2289,359,838,0.428,251,351,0.715,NA,NA,376,184,NA,NA,235,969
1966-67,23,NYK,NBA,SG,79,NA,2892,410,913,0.449,371,509,0.729,NA,NA,555,247,NA,NA,264,1191
1967-68,24,NYK,NBA,SG,78,NA,2348,316,725,0.436,227,339,0.67,NA,NA,424,230,NA,NA,225,859
1968-69,25,PHO,NBA,SG,80,NA,3388,612,1386,0.442,454,644,0.705,NA,NA,548,385,NA,NA,245,1678
1969-70,26,PHO,NBA,SG,77,NA,2966,592,1166,0.508,459,575,0.798,NA,NA,264,338,NA,NA,282,1643
1970-71,27,PHO,NBA,SG,81,NA,3157,609,1346,0.452,553,682,0.811,NA,NA,316,329,NA,NA,246,1771
1971-72,28,PHO,NBA,SG,82,NA,3096,545,1178,0.463,529,626,0.845,NA,NA,334,297,NA,NA,232,1619
1972-73,29,PHO,NBA,SG,81,NA,2979,532,1118,0.476,426,496,0.859,NA,NA,326,268,NA,NA,221,1490
1973-74,30,PHO,NBA,SG,78,NA,2832,514,1028,0.5,361,423,0.853,66,155,221,324,96,17,241,1389
1974-75,31,PHO,NBA,SG,70,NA,2419,421,895,0.47,282,339,0.832,52,137,189,195,81,11,177,1124
1975-76,32,PHO,NBA,SG,58,NA,1870,276,570,0.484,195,235,0.83,39,98,137,140,52,11,113,747
1976-77,33,PHO,NBA,SG,78,NA,1535,227,498,0.456,145,166,0.873,31,86,117,120,35,5,94,599
Career,NA,,NBA,,921,NA,31771,5413,11661,0.464,4253,5385,0.79,188,476,3807,3057,264,44,2575,15079
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,PHO,NBA,,685,NA,24242,4328,9185,0.471,3404,4186,0.813,188,476,2452,2396,264,44,1851,12060
3 seasons,NA,NYK,NBA,,236,NA,7529,1085,2476,0.438,849,1199,0.708,NA,NA,1355,661,NA,NA,724,3019
