Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1968-69,25,PHO,NBA,SG,1,0,10:00,2,4,0.5,0,0,NA,NA,1,0,NA,NA,0,4
1969-70,26,PHO,NBA,SG,1,0,16:00,4,8,0.5,0,0,NA,NA,2,2,NA,NA,0,8
1970-71,27,PHO,NBA,SG,1,0,12:00,2,4,0.5,0,1,0,NA,5,3,NA,NA,1,4
Career,NA,,NBA,,3,0,38,8,16,0.5,0,1,0,NA,8,5,NA,NA,1,16
