Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Dick Van Arsdale,,10.4,10.2,9,8.7,7,5.9,5.6,5.2,4,3.8,2.7,2.6
Derek Harper,93.1,9.9,9.4,9.1,8,7.6,6.4,6.2,5.4,4,3.5,2.7,1.3
Walter Davis,92.2,10.1,9.4,8.3,8.1,7.1,6.2,5.8,4.2,3.8,3.5,2.7,0.6
Mitch Richmond,91.2,10.8,9.3,8,7.9,7.1,6.4,5.6,5.2,5.2,4.9,3.3,3.1
Joe Dumars,91.1,9.9,9.1,8.8,8.7,8.2,7,6,5.9,4.4,4.2,3.2,1.7
Dan Majerle,91.1,9.8,9.8,7.7,7.3,7.2,6.1,5.5,5.5,5.3,3.5,3.5,2.5
Deron Williams,90.8,11.3,10.9,10.3,8.4,7.3,7.2,5.4,4.1,3.7,3.6,2.8,2.4
Louie Dampier,90.6,10.1,9.5,8.5,8.1,7.4,7.2,6,5.4,5,4,1.6,1.2
Mike Conley,90.5,10,9.9,8.2,8,6.8,6.6,6.4,5.3,4.5,4,1.1,0.6
Rod Strickland,90.0,9.3,8.8,8.5,8.1,7.4,7.1,5.7,5.2,4.3,4.1,3.7,3.7
Stephon Marbury,89.9,11.7,9.6,9.1,7.8,7.4,7.1,5.9,5.3,5.3,3.9,3.7,1.1
