,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1965-66,22,NYK,NBA,,11,,10,15,,,,,,,,27
1966-67,23,NYK,NBA,,10,,10,14,,,,,,,,26
1967-68,24,NYK,NBA,,12,,12,13,,,,,,,,30
1968-69,25,PHO,NBA,,19,27,17,18,,,14,13,,,6,44
1969-70,26,PHO,NBA,,17,25,14,16,,,10,11,,,6,38
1970-71,27,PHO,NBA,,14,27,18,21,,,13,12,,,6,42
1971-72,28,PHO,NBA,,13,22,12,15,,,9,,,,,32
1972-73,29,PHO,NBA,,12,20,15,17,,,10,9,,,6,36
1973-74,30,PHO,NBA,,16,22,14,14,4,6,7,11,6,,6,37
1974-75,31,PHO,NBA,,20,32,10,12,3,6,7,8,4,2,6,46
1975-76,32,PHO,NBA,,11,15,13,16,3,4,5,6,4,1,6,26
1976-77,33,PHO,NBA,,8,12,6,8,,,5,5,,,3,19
Career,,,,,20,,18,21,,,,,,,,46
9 Seasons,,PHO,NBA,,20,32,18,21,,,14,,,,,46
3 Seasons,,NYK,NBA,,12,,12,15,,,,,,,,30
