Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Pete Myers,,3,1.3,0.6,0.5,0.3,0.1,0,0,-0.1
Robert Smith,83.7,2.9,1.4,0.8,0.6,0,0,0,NA,NA
Jeff Judkins,82.4,3,1.8,0.7,0.6,0.2,NA,NA,NA,NA
Dan Dickau,78.6,3.5,1.5,0.4,0.4,0,0,NA,NA,NA
Shabazz Napier,78.5,3.2,2,0.6,0.5,0.1,NA,NA,NA,NA
Dion Glover,74.9,2.6,1.1,0.9,0.8,0.3,0.2,NA,NA,NA
Ralph Johnson,74.3,2.9,1.6,0.8,0,NA,NA,NA,NA,NA
Ben McLemore,73.2,2.5,0.8,0.5,0.4,0.3,0.2,NA,NA,NA
Bucky Bockhorn,72.8,3.1,1.5,1.3,1.1,0.5,0.3,0.1,NA,NA
Tyus Edney,72.5,3.3,1.5,1.4,0.5,NA,NA,NA,NA,NA
Bo Lamar,72.4,2.5,1.5,1,0.5,NA,NA,NA,NA,NA
