,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1967-68,22,SDR,NBA,,8,,9,11,,,,,,,,19
1968-69,23,SDR,NBA,,10,,8,14,,,,,,,,25
1969-70,24,SDR,NBA,,9,,5,6,,,,,,,,20
1970-71,25,LAL,NBA,,8,17,6,7,,,5,,,,5,22
1971-72,26,LAL,NBA,,12,,4,5,,,,,,,,27
1972-73,27,LAL,NBA,,8,,7,8,,,,,,,,21
1973-74,28,LAL,NBA,,9,20,7,8,,,8,8,,,6,22
1974-75,29,LAL,NBA,,15,,8,11,,,,,,,,38
1975-76,30,TOT,NBA,,7,16,5,6,,,5,4,,,5,16
1975-76,30,LAL,NBA,,4,10,1,3,,,2,0,,,3,9
1975-76,30,PHO,NBA,,7,16,5,6,2,3,5,4,3,1,5,16
Career,,,,,15,,9,14,,,,,,,,38
6 Seasons,,LAL,NBA,,15,,8,11,,,,,,,,38
3 Seasons,,SDR,NBA,,10,,9,14,,,,,,,,25
1 Season,,PHO,NBA,,7,16,5,6,2,3,5,4,3,1,5,16
