Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,23,SDR,NBA,SG,5,NA,76,16,37,0.432,5,6,0.833,NA,NA,11,2,NA,NA,13,37
1970-71,25,LAL,NBA,SG,7,NA,135,29,69,0.42,8,11,0.727,NA,NA,15,14,NA,NA,12,66
1971-72,26,LAL,NBA,SG,15,NA,244,33,99,0.333,12,16,0.75,NA,NA,29,14,NA,NA,37,78
1972-73,27,LAL,NBA,SG,7,NA,53,9,27,0.333,0,0,NA,NA,NA,5,7,NA,NA,10,18
1973-74,28,LAL,NBA,SG,5,NA,106,18,50,0.36,3,4,0.75,3,3,6,10,4,0,11,39
1975-76,30,PHO,NBA,SG,5,NA,27,6,15,0.4,1,1,1,0,0,0,5,0,0,3,13
Career,NA,,NBA,,44,NA,641,111,297,0.374,29,38,0.763,3,3,66,52,4,0,86,251
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,LAL,NBA,,34,NA,538,89,245,0.363,23,31,0.742,3,3,55,45,4,0,70,201
1 season,NA,SDR,NBA,,5,NA,76,16,37,0.432,5,6,0.833,NA,NA,11,2,NA,NA,13,37
1 season,NA,PHO,NBA,,5,NA,27,6,15,0.4,1,1,1,0,0,0,5,0,0,3,13
