Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Pat Riley,,1.3,1.1,1,1,0.6,0.3,0,-0.3,-0.6
Howard Komives,77.6,1.5,1.4,1,0.9,0.7,0.3,0.2,-0.1,-0.8
Michael Carter-Williams,73.5,1.3,1.2,0.9,0.8,0.8,0.2,NA,NA,NA
Brook Steppe,70.4,1.3,1.1,1,0.7,0.6,NA,NA,NA,NA
Tony Smith,64.7,1.7,1.5,1.3,1.3,0.6,0.5,0.1,-0.1,-0.2
Rex Walters,62.6,1.6,1.6,1.2,0.9,0.5,0.4,0.3,NA,NA
Sebastian Telfair,59.1,1.1,0.8,0.8,0.7,0.6,0.5,0.3,0.1,-0.4
Todd Lichti,57.7,1.8,1.3,1.2,1,0.2,NA,NA,NA,NA
Lloyd Walton,56.9,1.9,1.1,1.1,1.1,0.1,NA,NA,NA,NA
Troy Daniels,56.0,1.4,1.3,1.1,0.3,0.2,0.2,NA,NA,NA
John Wetzel,52.4,2,1.5,1.1,0.7,0.5,0.5,0.4,NA,NA
