,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,23,SDR,NBA,,9,16,2,2,,,4,1,,,4,18
1970-71,25,LAL,NBA,,11,20,3,4,,,5,6,,,3,24
1971-72,26,LAL,NBA,,5,10,3,4,,,5,3,,,4,11
1972-73,27,LAL,NBA,,3,8,0,0,,,2,2,,,3,6
1973-74,28,LAL,NBA,,7,17,3,4,,,2,4,,,4,17
1975-76,30,TOT,NBA,,4,9,1,1,0,0,0,4,0,0,1,8
1975-76,30,PHO,NBA,,4,9,1,1,0,0,0,4,0,0,1,8
Career,,,,,11,20,3,4,,,5,6,,,4,24
4 Seasons,,LAL,NBA,,11,20,3,4,,,5,6,,,4,24
1 Season,,SDR,NBA,,9,16,2,2,,,4,1,,,4,18
1 Season,,PHO,NBA,,4,9,1,1,0,0,0,4,0,0,1,8
