Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Scott English,,1,0,-0.2,NA,NA,NA,NA
Chris King,85.1,1.1,0,-0.1,NA,NA,NA,NA
Ivano Newbill,77.8,1.1,0.1,-0.1,NA,NA,NA,NA
Michael Young,73.5,1.1,0,0,NA,NA,NA,NA
Glenn McDonald,67.7,1.1,0.2,-0.2,NA,NA,NA,NA
Terence Morris,61.9,0.9,0.2,-0.1,NA,NA,NA,NA
Larry Robinson,56.4,1.1,0,0,0,0,-0.1,-0.1
Jim Tucker,55.2,1,0.3,0,NA,NA,NA,NA
Georges Niang,53.1,1.3,0,-0.3,NA,NA,NA,NA
David Thirdkill,52.5,1,0.3,0,0,-0.1,NA,NA
Dwayne Jones,52.4,1.2,0.1,0.1,0,0,NA,NA
