,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,22,PHO,NBA,,5,9,,,,,4,4,,,4,2,,,,5,10
1973-74,23,VIR,ABA,,1,,0,,,,4,4,,,,,,,,,4
1974-75,24,SDA,ABA,,12,,1,,,,5,6,,,,,,,,,24
Career,,,TOT,,12,,,,,,5,6,,,,,,,,,24
,,,NBA,,5,9,,,,,4,4,,,4,2,,,,5,10
,,,ABA,,12,,1,,,,5,6,,,,,,,,,24
,,,,,,,,,,,,,,,,,,,,,
1 Season,,SDA,ABA,,12,,1,,,,5,6,,,,,,,,,24
1 Season,,PHO,NBA,,5,9,,,,,4,4,,,4,2,,,,5,10
1 Season,,VIR,ABA,,1,,0,,,,4,4,,,,,,,,,4
