Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Jeremy Lamb,,5.3,4.9,3.3,2.7,2.7,1.6,0.2
Bimbo Coles,93.0,5.7,5,3.2,3,2.8,1.1,0.5
Jeremy Lin,92.2,5.4,4.4,3.5,2.7,2.7,2.1,0.5
Eric Gordon,91.9,5.3,4.6,3.2,2.9,2.5,1.1,0.7
Lionel Hollins,90.1,5.2,4,3.4,2.9,2.3,1.8,0.1
J.R. Smith,89.3,5.8,5,3.7,3.7,2.7,1.2,0.2
Jerry Sichting,89.1,5.2,4.2,3.5,2.7,2.3,1.1,0.3
John Long,88.4,5.3,4.7,3.6,3.6,3.3,2.4,0.2
Matt Guokas,87.9,5.2,4.7,4.2,2.5,2.3,1.2,0.5
Bobby Jackson,87.6,5.5,5.4,3.1,3.1,2.2,1.2,-0.6
O.J. Mayo,87.2,5.6,4.2,3.5,3.4,2.8,2.4,0.1
