Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Jeremy Lamb,,5.3,4.9,3.3,2.7,2.7,1.6,0.2,NA,NA,NA
Vincent Askew,87.6,6,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2,NA
O.J. Mayo,86.8,5.6,4.2,3.5,3.4,2.8,2.4,0.1,-0.1,NA,NA
Jerry Sichting,85.9,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2
George Senesky,85.5,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3,NA,NA
Kentavious Caldwell-Pope,85.3,5.3,5.3,4.5,4,2.8,1.8,NA,NA,NA,NA
Jeremy Lin,85.1,5.4,4.4,3.5,2.7,2.7,2.1,2.1,0.5,0,NA
Ron Williams,84.6,6.1,5.8,4.4,2.6,2.6,1.9,0.1,0,NA,NA
Isaiah Rider,83.5,5.8,5,3.4,2.5,1.9,1.7,1.6,0.8,0.2,NA
Paul Walther,83.1,6.6,5.2,3.1,2.2,2,1.3,NA,NA,NA,NA
Art Williams,82.9,4.4,3.4,3.1,2.8,2.7,1.2,0.1,0,NA,NA
