Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Monty Williams,,3.1,2.9,2.3,1.3,1.2,0.5,0.3,0,-0.1
Jared Jeffries,90.6,3.1,2.6,2.2,1.2,1.2,0.6,0.6,0.3,0.1
David Wood,86.3,2.8,2.3,2.2,1.3,1,0.5,0,NA,NA
Chuck Cooper,84.9,3.3,3.1,2.4,1.7,1.1,0,NA,NA,NA
Don Ford,82.6,3.5,2.8,2.5,2,1.5,0.6,-0.1,NA,NA
Chase Budinger,82.0,3.4,3.1,3,1.4,1.3,0.9,0.7,NA,NA
James Ennis,81.9,3.1,3.1,2.6,1.9,0.9,NA,NA,NA,NA
Lew Hitch,81.8,3.3,2.7,2.2,2.2,1.2,NA,NA,NA,NA
Tim Bassett,81.6,3.7,2.6,2.4,1.5,1.4,1.1,0.1,NA,NA
Scott Padgett,81.6,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1,NA
Lawrence Funderburke,81.0,3.7,3.1,2.1,1.9,1.6,0.5,0.1,NA,NA
