Season,Team,Lg,Salary
1984-85,Boston Celtics,NBA,"$830,000"
1985-86,Los Angeles Clippers,NBA,"$505,000"
1987-88,Houston Rockets,NBA,"$551,000"
Career,(may be incomplete),,"$1,886,000"
