Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Cedric Maxwell,,12.2,11.7,11,9.1,6.6,6.4,5.4,5.4,4.6,4.2,2,NA,NA,NA,NA,NA
Cliff Hagan,90.8,11.8,11.7,10.8,10,8.5,7.1,6.5,6,4.7,3.7,3,1.3,0.1,NA,NA,NA
Vern Mikkelsen,90.5,13.2,12,10.9,9.2,8.9,6.6,6.5,6.1,5.4,4.5,NA,NA,NA,NA,NA,NA
Billy Cunningham,90.1,11.9,10.3,10,9,8.3,6.8,6.4,6.1,5,3.5,1.2,NA,NA,NA,NA,NA
Kevin Love,87.5,14.3,11.4,10,8.7,8.5,6.4,6.4,5.3,4.9,1.3,1.1,NA,NA,NA,NA,NA
Anthony Mason,87.5,11.6,11.4,11.3,9.3,8.9,8.6,7.4,6.4,5.6,4.9,3.1,0.1,-0.1,NA,NA,NA
Shawn Kemp,86.8,11.7,11.2,10.6,10,9.1,6.8,6.7,6.3,6.1,4,2.1,2,1.9,0.9,NA,NA
Bernard King,86.3,12.1,9.1,8.7,7.5,7.1,6.5,5.9,5.5,4.9,3.5,2.8,1.2,0.4,0,NA,NA
Chris Mullin,86.0,12.2,10.8,10.6,10.2,7.6,7.1,5.2,5.1,4.9,4.7,4.1,4,2.9,1.7,1.7,0.3
John Drew,85.0,10.6,8.9,8.9,7.9,7.1,6.4,5.5,5.4,4.5,3,0.7,NA,NA,NA,NA,NA
Rudy Tomjanovich,85.0,12.8,10.4,10.1,8.4,7.3,6.9,6.2,3.6,2.1,1.7,1,NA,NA,NA,NA,NA
