Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Cedric Maxwell,,12.2,11.7,11,9.1,6.6,6.4,5.4,5.4,4.6,4.2,2
Cliff Hagan,91.9,11.8,11.7,10.8,10,8.5,7.1,6.5,6,4.7,3.7,1.3
Vern Mikkelsen,90.5,13.2,12,10.9,9.2,8.9,6.6,6.5,6.1,5.4,4.5,NA
Billy Cunningham,90.1,11.9,10.3,10,9,8.3,6.8,6.4,6.1,5,3.5,1.2
Richard Jefferson,89.9,11.7,11,9.9,7.6,6.6,6,5.9,4.7,3.4,3.1,2.4
Chris Mullin,89.9,12.2,10.8,10.6,10.2,5.2,5.1,4.9,4.7,4,2.9,1.7
Shawn Kemp,89.6,11.7,11.2,10.6,10,9.1,6.8,6.7,6.3,6.1,4,2.1
Carlos Boozer,87.7,10.2,9.9,9.9,9.4,7.6,5.9,5.8,5.7,4.1,3.5,2.6
Kevin Love,87.5,14.3,11.4,10,8.7,8.5,6.4,6.4,5.3,4.9,1.3,1.1
Dennis Rodman,85.5,12.6,9.3,8.7,8.7,8.1,6.8,6.2,6,5.8,5.5,2.9
Detlef Schrempf,85.3,12.9,10.4,9.8,9,8.4,8.2,8.1,4.4,4,3.6,0.8
