Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Arnie Ferrin,,2.6,2.6,2.4,NA,NA,NA,NA
Justise Winslow,94.8,2.8,2.6,2.5,-0.1,NA,NA,NA
George Adams,85.8,2.3,2.2,2.2,NA,NA,NA,NA
Walter Berry,85.3,3.4,2.4,2.3,NA,NA,NA,NA
Mike Jackson,81.8,3.4,3.1,2.4,0.2,NA,NA,NA
Sam Williams,81.4,3.7,2.7,2.6,-0.1,NA,NA,NA
Mickey Davis,80.6,3.4,2.6,2.3,0.4,0.3,-0.1,NA
Tom Tolbert,80.4,2.7,2.5,1.3,0.1,0,0,0
Shabazz Muhammad,80.0,2.7,2.7,2,0.7,0.3,NA,NA
Kenny Williams,77.4,2.7,2.4,1.6,0.7,NA,NA,NA
Renaldo Balkman,76.8,2.8,2.6,1.3,0.3,0.1,0,NA
