Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Julius Randle,,6.6,6.1,3.5,1.6,-0.1,NA
Jack Kerris,88.1,5.9,5.7,4.1,2.1,NA,NA
Bob Lavoy,88.1,5.8,5.8,3.4,1,NA,NA
Larry Nance,84.9,5.8,4.9,3.5,2.2,NA,NA
Ernie Vandeweghe,83.8,7.1,4.8,3.9,2.1,0.3,-0.1
Jerami Grant,83.3,7.3,5.4,2.9,2.1,0.5,NA
Randolph Mahaffey,80.2,5.7,4.7,3.7,2.6,NA,NA
Art Heyman,79.8,8.5,6.1,2.7,1.3,0.6,0
Bones McKinney,79.4,7.1,4.9,3.3,0.2,0,-0.2
Bud Palmer,79.2,7.4,7.2,3.9,NA,NA,NA
Howie Dallmar,78.9,7,5.9,2.2,NA,NA,NA
