Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Julius Randle,,6.6,6.1,3.5,1.6,-0.1
Khris Middleton,90.3,6.7,6.1,2.7,1.6,0.9
Jack Kerris,88.1,5.9,5.7,4.1,2.1,NA
Bob Lavoy,88.1,5.8,5.8,3.4,1,NA
Dave DeBusschere,88.0,6.6,5.9,3.7,3.6,0
Ben Wallace,88.0,7,5.6,3.6,2.9,-0.2
Rich Jones,87.2,6.6,5.8,1.9,1.8,0.2
Wil Jones,87.1,7.4,6,4,2.3,0.6
John Williams,85.4,6.9,5,3.5,1.3,1
Larry Nance,84.9,5.8,4.9,3.5,2.2,NA
Ernie Vandeweghe,84.2,7.1,4.8,3.9,2.1,0.3
