Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Stephen Jackson,,5,4.8,4.6,4.4,4.4,4.1,3.1,2.2,1.9,0.9,0.6,0.3,-0.1,-0.2
Tom Van Arsdale,88.3,5.5,5,4.8,4.4,4,3.1,2.7,2.2,1.6,1.4,1.1,1,NA,NA
Harvey Grant,87.2,6.7,5,4.3,4,4,3.9,2.7,2.6,1.7,0.8,0.7,NA,NA,NA
Chuck Person,87.1,5.5,5.4,5.4,4.6,3.9,3.6,3.3,3,2.1,1.2,0.9,0,-0.1,NA
Corliss Williamson,87.0,5.1,4.9,4.4,4.1,3.6,3.3,3.2,2.7,2.5,1.5,0.2,-0.8,NA,NA
John Block,86.6,5.5,5.1,4.2,4.2,4.1,4.1,3.1,2.3,0.2,0,NA,NA,NA,NA
Jared Dudley,86.5,5.6,5.3,5.1,4.8,4.6,4.1,2.9,2.7,2.4,1.8,1.8,0.8,NA,NA
Mike Bantom,86.2,5.9,5.2,4.8,4.5,4.4,3.9,2.9,2.7,0.5,NA,NA,NA,NA,NA
Kurt Rambis,86.0,4.8,4.3,4.3,4.1,4.1,3.9,2.6,2.3,2.2,1.7,1.7,1.5,0.6,0.3
John Johnson,84.9,6.2,4.9,4.6,4.3,4,2.7,2.5,2.3,2.1,2.1,1.2,0.2,NA,NA
Walt Williams,84.9,5.4,5.1,5.1,4.4,3.7,3,2.5,2.2,1.7,1.6,-0.7,NA,NA,NA
