Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Tim Perry,,5.7,2.6,2,1.4,1.4,1.2,0.3,-0.1
Larry Krystkowiak,90.3,6.3,2.6,2.1,1.8,1.4,1,0.3,0.1
Jon Leuer,86.7,4.5,2.7,2,1.4,1.3,0.9,0.2,0.1
Ed Nealy,84.4,4.7,2,1.9,1.5,1.3,1.2,0.4,0.3
Travis Outlaw,84.3,5.3,3.2,2.3,1.4,0.9,0.9,0.8,0
Samaki Walker,83.1,5.3,2.1,2,1.9,1.4,0.7,0.6,0.5
Tyler Zeller,82.6,6.5,2.9,2.6,2,1.7,1,0.3,NA
Etan Thomas,82.4,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.1
Eric Williams,80.9,6,2.9,2.5,2.2,2.2,1.6,0.2,0.1
James Bailey,80.3,4.9,2.9,2.3,2,1.9,1,0.6,0.3
Brian Skinner,79.5,4.1,2.7,1.9,1.9,1.1,0.9,0.3,0.1
