Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Tim Perry,,5.7,2.6,2,1.4,1.4,1.2,0.3,-0.1,NA,NA,NA
Larry Krystkowiak,90.0,6.3,2.6,2.1,1.8,1.4,1,0.3,0.1,0.1,NA,NA
Jon Leuer,86.7,4.5,2.7,2,1.4,1.3,0.9,0.2,0.1,NA,NA,NA
Tyler Zeller,82.6,6.5,2.9,2.6,2,1.7,1,0.3,NA,NA,NA,NA
Samaki Walker,82.3,5.3,2.1,2,1.9,1.4,0.7,0.6,0.5,0,-0.1,NA
Etan Thomas,81.9,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.2,0.1,NA,NA
Travis Outlaw,81.3,5.3,3.2,2.3,1.4,1.4,0.9,0.9,0.8,0.3,0,-0.1
Ben Warley,79.3,6.3,3.8,1.7,1.5,1.4,0.8,0.6,0.5,NA,NA,NA
Tim Bassett,79.1,3.7,2.6,2.4,1.5,1.4,1.1,0.1,NA,NA,NA,NA
James Bailey,78.7,4.9,2.9,2.3,2,1.9,1,0.6,0.4,0.3,NA,NA
Ed Nealy,76.9,4.7,2,1.9,1.5,1.5,1.3,1.2,0.5,0.4,0.3,NA
