Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Lawrence Funderburke,,3.7,3.1,2.1,1.9,1.6,0.5,0.1,NA,NA,NA
Don Ford,90.2,3.5,2.8,2.5,2,1.5,0.6,-0.1,NA,NA,NA
Scott Padgett,89.7,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1,NA,NA
Luke Walton,88.4,3.8,3.2,2,2,1.6,0.8,0.5,0.3,-0.2,-0.4
Derrick Williams,88.3,3.6,3,2.6,2.1,1.8,1.1,0,NA,NA,NA
Mark Landsberger,87.7,3.4,2.2,2.2,1.9,1.7,0.4,0.3,NA,NA,NA
Aaron James,87.3,4.3,2.9,2.2,2.1,1.7,NA,NA,NA,NA,NA
Mike Muscala,87.3,3.4,2.5,2.4,1.9,1.6,0.2,NA,NA,NA,NA
Lavoy Allen,86.9,3.7,2.8,2.5,1.7,1.6,1.5,NA,NA,NA,NA
Stacey King,85.5,3.6,3.1,1.9,1.5,0.9,0.1,0,-0.2,NA,NA
Chuck Cooper,85.0,3.3,3.1,2.4,1.7,1.1,0,NA,NA,NA,NA
