Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Chris McNealy,,1.6,0.8,0.2,NA
Ron Riley,97.1,1.6,0.7,0.2,0
Ron Bonham,89.8,1.8,0.7,0.2,NA
Chris Singleton,87.7,1.5,0.5,0.2,NA
Kevin Loder,87.6,1.5,0.9,0.1,NA
Joey Dorsey,86.0,1.9,0.8,0.1,0
Jim Holstein,83.8,1.8,0.6,0.2,NA
Adrian Branch,81.1,1.5,0.7,0,-0.1
Brian Rowsom,80.1,1.5,1,0,NA
Billy Schaeffer,79.8,1.9,0.8,0.5,NA
Bill Bunting,79.4,2,0.7,0,NA
