Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
John Morton,,1.5,-0.1,-0.9,NA,NA,NA
Orlando Johnson,19.4,1.5,0.1,-0.2,NA,NA,NA
Ray Corley,-3.1,1.2,0,-0.4,NA,NA,NA
Buddy O'Grady,-4.9,1.4,0.7,-0.5,NA,NA,NA
Stephen Vacendak,-4.9,2.2,0.1,-0.4,NA,NA,NA
Bernard Robinson,-7.3,1.7,0.3,0.1,NA,NA,NA
Stan Noszka,-9.5,1.8,0.4,-0.2,NA,NA,NA
John Kuester,-10.0,1.9,0.1,0,NA,NA,NA
Cliff Barker,-10.9,2.2,0.1,-0.2,NA,NA,NA
Bobby Washington,-13.0,1.5,0.7,0,NA,NA,NA
Greg Grant,-14.5,1.4,0.2,0,0,0,-0.1
