Season,Team,Lg,Salary
2017-18,Indiana Pacers,NBA,< $Minimum
2018-19,Indiana Pacers,NBA,"$160,096"
2018-19,San Antonio Spurs,NBA,< $Minimum
Career,(may be incomplete),,"$160,096"
