Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Al Butler,,4.1,2.1,1.1,-0.3
Ernie Beck,95.1,4.3,2.1,1.1,-0.4
Stan Stutz,86.8,3.9,1.7,1.1,NA
Devean George,86.2,4.2,2.7,0.7,-0.3
Mike Riordan,84.8,3.8,2.1,1.7,-0.1
Lucious Harris,84.7,4.1,2.1,0.6,0.4
Raja Bell,84.6,3.7,1.7,1.1,-0.1
Matt Guokas,84.2,4.2,2.5,1.2,0.5
Pat Connaughton,84.0,3.9,2.5,0.6,-0.2
Trenton Hassell,83.0,4,2.7,1.5,-0.1
Winston Garland,82.5,4.5,2.4,1.7,-0.3
