Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1961-62,23,TOT,NBA,PG,59,NA,2016,349,754,0.463,129,182,0.709,337,205,156,827
1961-62,23,BOS,NBA,PG,5,NA,47,13,29,0.448,5,6,0.833,13,4,9,31
1961-62,23,NYK,NBA,PG,54,NA,1969,336,725,0.463,124,176,0.705,324,201,147,796
1962-63,24,NYK,NBA,PG,74,NA,1488,297,676,0.439,144,187,0.77,170,156,145,738
1963-64,25,NYK,NBA,PG,76,NA,1379,260,616,0.422,138,187,0.738,168,157,167,658
1964-65,26,BAL,NBA,PG,25,NA,172,24,73,0.329,11,15,0.733,21,12,25,59
Career,NA,,NBA,,234,NA,5055,930,2119,0.439,422,571,0.739,696,530,493,2282
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,NYK,NBA,,204,NA,4836,893,2017,0.443,406,550,0.738,662,514,459,2192
1 season,NA,BAL,NBA,,25,NA,172,24,73,0.329,11,15,0.733,21,12,25,59
1 season,NA,BOS,NBA,,5,NA,47,13,29,0.448,5,6,0.833,13,4,9,31
