Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Al Butler,,4.1,2.1,1.1,-0.3,NA,NA
Stan Stutz,86.8,3.9,1.7,1.1,NA,NA,NA
Pat Connaughton,84.0,3.9,2.5,0.6,-0.2,NA,NA
Billy Ray Bates,82.4,3.6,2.4,0.9,0,NA,NA
Seth Curry,82.1,4.6,2.4,1.4,0,0,NA
Earl Tatum,81.0,4.4,2.6,0.7,0,NA,NA
Jiří Welsch,79.0,3.6,1.7,0.8,-0.4,NA,NA
Keith Jennings,78.9,4.2,2.9,0.6,NA,NA,NA
Ron Sobie,78.7,3.6,2.6,0.9,0.1,NA,NA
Mel Riebe,77.9,4.2,2.2,0,NA,NA,NA
Ronnie Lester,76.6,3.9,1.7,0.7,0.2,0,-0.2
