Thru 18 Years,Thru 18 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Dikembe Mutombo,,11.3,10.8,9.9,9.6,9.4,8.8,8.7,8.1,7.9,7.6,5.2,4.8,4.7,3.8,3.1,2.3,0.8,0.2
Bill Laimbeer,92.5,10.8,10.5,10.1,9.8,9.2,9,8.8,8.5,8,5.4,5.4,4.9,4.7,0.5,NA,NA,NA,NA
Jack Sikma,91.4,12.6,9.8,9.7,9.4,8.8,8.6,8.3,8.1,8,7.8,7.4,5.4,5,3.5,NA,NA,NA,NA
Wes Unseld,90.4,11.1,10.8,10.7,10.6,10,9.5,8.7,8.4,8.3,6.8,6.2,5.5,3.6,NA,NA,NA,NA,NA
Robert Parish,87.4,10.9,10.8,10.5,10.5,10,10,9.2,9.2,9,7.8,7.4,7.1,6.8,6.4,4.8,4.6,4,4
Tyson Chandler,85.3,10.3,10,9.5,9.4,9.3,8.3,7.9,5.4,4.9,4.1,3.9,3.8,3.4,2.9,2.7,2.1,1.9,1.8
Bob Lanier,84.9,14.4,12.4,10.6,10.3,10.1,10.1,8.4,7.4,6.8,6.7,6.6,5.9,5.2,2.3,NA,NA,NA,NA
Patrick Ewing,83.7,13.5,13.1,13,10.9,10.6,10,9.8,9.6,8.1,6.8,4.8,3.5,3.3,3.1,3,2,1.4,NA
Dwight Howard,81.1,14.4,13.8,13.2,12.9,9.7,8.6,8.3,8,7.7,7.6,7.3,6.8,6.6,3.6,0.6,NA,NA,NA
Al Horford,79.9,10.9,10.1,9.4,8.8,8.7,7.8,7.5,6.8,6.3,5.5,2.8,1.3,NA,NA,NA,NA,NA,NA
Alonzo Mourning,79.2,12.9,9.9,9.4,8.4,8.2,7.9,7.5,7.4,6.3,4.8,3.5,1.2,0.9,0.8,0.6,NA,NA,NA
