Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Okaro White,,0.6,0.2,0,NA
Anthony Frederick,75.9,0.5,0.2,0,NA
Joby Wright,74.9,0.6,0,-0.1,NA
Samardo Samuels,74.5,0.7,0,-0.1,NA
Pape Sow,74.1,0.6,0.2,0.1,NA
Josh Huestis,71.1,0.5,0.2,0,NA
Alton Ford,70.4,0.8,0.1,-0.1,NA
Brian Quinnett,69.6,0.8,0.1,-0.1,NA
Linton Townes,69.1,0.7,0,-0.1,NA
Ken Durrett,66.4,0.5,0.1,0,0
Scott Roth,63.9,0.7,0.3,0.1,NA
