Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Michael Phelps,,0.3,0.1,-0.1
Malcolm Lee,76.2,0.4,0.1,0
Eddie Gill,75.1,0.3,0.1,0
Gerald Madkins,75.0,0.3,0.1,0
R.J. Hunter,64.8,0.3,0,0
Russ Lee,64.3,0.3,0.2,0
Bob Duffy,63.0,0.3,0.1,0.1
Brad Holland,62.7,0.3,0.1,-0.1
Anthony Parker,60.4,0.4,0.2,0
A.J. Guyton,60.0,0.3,0.1,-0.1
Dwight Buycks,59.9,0.2,0.1,0
