Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Art Spoelstra,,3.7,1.8,1.7,1.4
Sean Rooks,86.6,3,2.2,1.8,1.5
Bob Hopkins,85.7,3.5,2.7,1.9,1.4
Manute Bol,85.6,3.9,2.4,2,1.7
Danny Schayes,84.2,2.8,2,1.7,1.2
Robin Lopez,84.1,3.2,2.1,1.5,1.1
Boban Marjanović,83.5,3.4,3,1.7,1.5
Jim McIlvaine,82.3,3,1.9,1.8,0.8
Marreese Speights,82.2,3.8,2.7,2.1,1.7
Kelvin Cato,81.3,4.2,2.7,1.7,1.6
Otto Moore,80.6,3.5,2.4,2.3,0.9
