Season,Team,Lg,Salary
2009-10,Utah Jazz,NBA,"$269,169"
2010-11,Minnesota Timberwolves,NBA,"$237,626"
2010-11,Toronto Raptors,NBA,"$89,670"
2011-12,New Jersey Nets,NBA,"$854,389"
Career,(may be incomplete),,"$1,450,854"
