Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Sundiata Gaines,,1,0.5,-0.1,NA
Stan Pietkiewicz,95.5,1,0.6,0,NA
Tarence Kinsey,84.9,0.9,0.6,0,NA
Tony Bennett,81.8,0.9,0.7,0,NA
Eddie Hughes,80.9,1,0.4,0,NA
Bryan Warrick,80.6,1,0.5,0.1,0
Phil Rollins,74.7,1.1,0.7,0.1,NA
Charlie Davis,73.6,0.8,0.7,-0.1,NA
Kris Dunn,72.8,0.9,0.6,0.1,NA
Nate Hawthorne,72.7,1.1,0.5,0.1,NA
LaBradford Smith,72.7,0.8,0.8,-0.1,NA
