Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Evan Eschmeyer,,2.5,0.7,0.5,0.2
Bob Christian,85.8,2.4,0.9,0.5,0
Dave Hoppen,85.5,2.6,0.8,0.2,0
Ed Mikan,81.9,2.7,0.8,0.8,NA
Calvin Booth,80.6,2.1,0.8,0.5,0.1
Melvin Ely,79.0,2,0.8,0.4,0.1
Deyonta Davis,78.8,2.7,0.5,0.4,NA
Steven Hunter,76.9,2.6,1,0.9,0.6
Michael Stewart,76.5,3,0.7,0.2,0.1
Sean Williams,73.7,2.5,0.4,0.3,-0.2
Chris Dudley,73.3,2.2,1,0.2,0.1
