Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Evan Eschmeyer,,2.5,0.7,0.5,0.2,NA,NA,NA,NA,NA
Dave Hoppen,83.8,2.6,0.8,0.2,0,0,-0.1,NA,NA,NA
Deyonta Davis,78.8,2.7,0.5,0.4,NA,NA,NA,NA,NA,NA
Sean Williams,73.7,2.5,0.4,0.3,-0.2,NA,NA,NA,NA,NA
Michael Stewart,72.5,3,0.7,0.2,0.2,0.2,0.1,0.1,0.1,NA
George Johnson,71.4,2.4,0.3,0.2,0.1,NA,NA,NA,NA,NA
Gustavo Ayón,66.3,3.2,1.2,0.7,NA,NA,NA,NA,NA,NA
Jack Haley,65.7,2.2,0.4,0.3,0.2,0.1,0,0,0,-0.3
Chris Anstey,64.8,1.9,0.6,0.3,NA,NA,NA,NA,NA,NA
Melvin Ely,64.6,2,0.8,0.6,0.4,0.3,0.1,0,-0.1,-0.3
Ed Mikan,64.2,2.7,0.8,0.8,0,-0.7,NA,NA,NA,NA
