Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
James Michael McAdoo,,1.1,0.8,0.5,0,NA,NA,NA,NA
Bo Ellis,95.4,1.1,0.9,0.5,NA,NA,NA,NA,NA
Patrick McFarland,84.5,1.3,0.7,0.4,NA,NA,NA,NA,NA
Tommie Bowens,83.8,1.2,1.1,0.5,NA,NA,NA,NA,NA
Tom Kozelko,82.1,1,0.7,0.7,NA,NA,NA,NA,NA
James Wilkes,81.3,1.1,0.8,0.1,NA,NA,NA,NA,NA
Shavlik Randolph,80.4,1.1,0.7,0.4,0.1,0,0,0,0
Ray Tolbert,80.2,1.1,0.8,0.7,0.3,0,NA,NA,NA
Calvin Garrett,76.7,1.4,0.6,0.6,0,NA,NA,NA,NA
Fred Saunders,75.3,1.3,1.2,0.5,0.1,NA,NA,NA,NA
Tremaine Fowlkes,75.2,1.2,0.5,0.4,0,NA,NA,NA,NA
