Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
James Michael McAdoo,,1.1,0.8,0.5,0
Bo Ellis,95.4,1.1,0.9,0.5,NA
Dickey Simpkins,87.3,1.2,0.7,0.6,0.1
Patrick McFarland,84.5,1.3,0.7,0.4,NA
Tommie Bowens,83.8,1.2,1.1,0.5,NA
Jeff Turner,82.6,1.2,0.8,0.6,-0.2
Tom Kozelko,82.1,1,0.7,0.7,NA
Loren Woods,82.0,1.1,0.7,0.5,0.4
James Wilkes,81.3,1.1,0.8,0.1,NA
Ray Tolbert,81.2,1.1,0.8,0.7,0.3
Josh Powell,80.9,1.1,0.7,0.6,0.3
