,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2010-11,22,PHI,NBA,43:28,9,15,2,3,9,15,7,8,5,11,12,7,3,1,5,5,23,21.4
2011-12,23,PHI,NBA,43:05,13,29,2,5,12,24,6,7,3,14,15,8,3,2,5,6,29,23.3
2012-13,24,PHI,NBA,45:00,12,26,4,7,12,23,7,10,3,12,13,9,4,1,6,6,27,23.8
2013-14,25,TOT,NBA,47:13,13,26,3,8,12,22,11,13,3,11,11,9,3,1,9,6,34,25.5
2013-14,25,PHI,NBA,47:13,13,26,3,8,12,22,11,13,3,11,11,8,3,1,9,6,34,25.5
2013-14,25,IND,NBA,41:18,9,18,3,4,7,14,4,5,3,8,8,9,2,1,4,4,23,20.0
2014-15,26,BOS,NBA,41:50,12,22,4,6,11,17,5,7,2,13,15,13,5,2,7,6,30,22.5
2015-16,27,BOS,NBA,37:16,10,19,2,5,10,19,7,8,3,12,12,10,5,2,5,4,21,19.6
2016-17,28,POR,NBA,40:00,10,17,2,7,9,14,7,8,4,8,10,11,3,4,5,5,24,18.0
2017-18,29,POR,NBA,37:47,10,15,3,6,9,13,8,8,3,8,8,7,4,3,5,6,22,20.8
2018-19,30,POR,NBA,33:47,7,14,2,5,7,11,6,8,2,12,12,11,2,2,4,5,17,22.2
2019-20,31,ATL,NBA,21:00,4,7,0,1,4,7,3,3,1,4,5,5,2,3,3,4,11,11.6
Career,,,,47:13,13,29,4,8,12,24,11,13,5,14,15,13,5,4,9,6,34,25.5
4 Seasons,,PHI,NBA,47:13,13,29,4,8,12,24,11,13,5,14,15,9,4,2,9,6,34,25.5
3 Seasons,,POR,NBA,40:00,10,17,3,7,9,14,8,8,4,12,12,11,4,4,5,6,24,22.2
2 Seasons,,BOS,NBA,41:50,12,22,4,6,11,19,7,8,3,13,15,13,5,2,7,6,30,22.5
1 Season,,IND,NBA,41:18,9,18,3,4,7,14,4,5,3,8,8,9,2,1,4,4,23,20.0
1 Season,,ATL,NBA,21:00,4,7,0,1,4,7,3,3,1,4,5,5,2,3,3,4,11,11.6
